张红	20190301	HIT1	4850	20190305	4
张红1号	20190302	HIT2	578	20190303	2
张红2号	20190303	HIT3	1366	20190302	1
张红3号	20190304	HIT4	2126	20190304	3
张红4号	20190305	HIT5	4001	20190305	4
张红5号	20190306	HIT6	2826	20190301	0
张红6号	20190307	HIT7	213	20190303	2
张红7号	20190308	HIT8	3092	20190305	4
张红8号	20190309	HIT9	2478	20190303	2
张红9号	20190310	HIT10	2226	20190305	4
张红10号	20190311	HIT11	708	20190303	2
张红11号	20190312	HIT12	818	20190301	0
张红12号	20190313	HIT13	2629	20190303	2
张红13号	20190314	HIT14	2472	20190302	1
张红14号	20190315	HIT15	2840	20190305	4
张红15号	20190316	HIT16	2215	20190303	2
张红16号	20190317	HIT17	2810	20190303	2
张红17号	20190318	HIT18	1410	20190302	1
张红18号	20190319	HIT19	3526	20190302	1
张红19号	20190320	HIT20	687	20190303	2
张红20号	20190321	HIT21	3588	20190303	2
张红21号	20190322	HIT22	3673	20190304	3
张红22号	20190323	HIT23	1058	20190301	0
张红23号	20190324	HIT24	3732	20190303	2
张红24号	20190325	HIT25	1150	20190302	1
张红25号	20190326	HIT26	1833	20190305	4
张红26号	20190327	HIT27	2114	20190302	1
张红27号	20190328	HIT28	2084	20190305	4
张红28号	20190329	HIT29	3545	20190302	1
张红29号	20190330	HIT30	3595	20190303	2
张红30号	20190331	HIT31	69	20190303	2
张红31号	20190332	HIT32	3205	20190303	2
张红32号	20190333	HIT33	3523	20190304	3
张红33号	20190334	HIT34	1502	20190302	1
张红34号	20190335	HIT35	3437	20190305	4
张红35号	20190336	HIT36	2191	20190302	1
张红36号	20190337	HIT37	3097	20190302	1
张红37号	20190338	HIT38	2857	20190301	0
张红38号	20190339	HIT39	59	20190302	1
张红39号	20190340	HIT40	3463	20190302	1
张红40号	20190341	HIT41	1295	20190304	3
张红41号	20190342	HIT42	3796	20190301	0
张红42号	20190343	HIT43	3635	20190301	0
张红43号	20190344	HIT44	801	20190304	3
张红44号	20190345	HIT45	806	20190302	1
张红45号	20190346	HIT46	3152	20190302	1
张红46号	20190347	HIT47	1371	20190305	4
张红47号	20190348	HIT48	3958	20190301	0
张红48号	20190349	HIT49	1050	20190304	3
张红49号	20190350	HIT50	8463	20190305	4
